,id,type,address,number,postal_code,municipality,province,public,available,hours,latitude,longitude
15339,15439.0,Appareil Fixe-Vast Apparaat,Bisschopsstraat,1.0,1000,Saint-Josse-ten-Noode,,Yes,Yes,,50.8507205,4.3504916
15340,15439.0,Appareil Fixe-Vast Apparaat,Bisschopsstraat,1.0,1000,Ixelles,,Yes,Yes,,50.8507205,4.3504916
15341,15439.0,Appareil Fixe-Vast Apparaat,Bisschopsstraat,1.0,1000,Bruxelles,,Yes,Yes,,50.8507205,4.3504916
15342,15440.0,Appareil Fixe-Vast Apparaat,Bisschopsstraat,1.0,1000,Saint-Josse-ten-Noode,,Yes,Yes,,50.8507205,4.3504916
15343,15440.0,Appareil Fixe-Vast Apparaat,Bisschopsstraat,1.0,1000,Ixelles,,Yes,Yes,,50.8507205,4.3504916
15344,15440.0,Appareil Fixe-Vast Apparaat,Bisschopsstraat,1.0,1000,Bruxelles,,Yes,Yes,,50.8507205,4.3504916
15345,15441.0,Appareil Fixe-Vast Apparaat,Rijkeklarenstraat,24.0,1000,Saint-Josse-ten-Noode,,Yes,Yes,,50.8468815,4.3463679
15346,15441.0,Appareil Fixe-Vast Apparaat,Rijkeklarenstraat,24.0,1000,Ixelles,,Yes,Yes,,50.8468815,4.3463679
15347,15441.0,Appareil Fixe-Vast Apparaat,Rijkeklarenstraat,24.0,1000,Bruxelles,,Yes,Yes,,50.8468815,4.3463679
15348,15442.0,Appareil Fixe-Vast Apparaat,Kalbergstraat,92.0,8780,Oostrozebeke,West-Vlaanderen,Yes,No,Dagelijks Open Van 8.15 U. Tot 21 U.,50.9267935,3.3450121
15349,15443.0,Appareil Fixe-Vast Apparaat,Terhulpsesteenweg,120.0,1000,Saint-Josse-ten-Noode,,Yes,Yes,,50.7969497,4.3992554
15350,15443.0,Appareil Fixe-Vast Apparaat,Terhulpsesteenweg,120.0,1000,Ixelles,,Yes,Yes,,50.7969497,4.3992554
15351,15443.0,Appareil Fixe-Vast Apparaat,Terhulpsesteenweg,120.0,1000,Bruxelles,,Yes,Yes,,50.7969497,4.3992554
15352,1772.0,Appareil Fixe-Vast Apparaat,Place Ducale,1.0,6830,Bouillon,Luxembourg,Yes,Yes,,,
15353,1772.0,Appareil Fixe-Vast Apparaat,Place Ducale,1.0,6830,Bouillon,Luxembourg,Yes,Yes,,,
15354,15444.0,Appareil Fixe-Vast Apparaat,Rijksweg,16.0,2870,Puurs-Sint-Amands,Antwerpen,Yes,Yes,,51.0926442,4.269141843547109
15355,1719.0,Appareil Fixe-Vast Apparaat,Kontichsesteenweg,36.0,2630,Aartselaar,Antwerpen,Yes,Yes,,51.142775099999994,4.385859700000001
15356,15445.0,Appareil Fixe-Vast Apparaat,Rue Laplace,40.0,4100,Seraing,Liège,Yes,Yes,,50.5813787,5.493559283995575
15357,15446.0,Appareil Fixe-Vast Apparaat,Interleuvenlaan,3.0,3001,Leuven,Vlaams-Brabant,Yes,Yes,,50.75049895,5.084492885484813
15358,1862.0,Appareil Fixe-Vast Apparaat,Rue De Ways,39.0,1470,Genappe,Brabant wallon (le),Yes,Yes,,50.61072315,4.452416490475025
15359,1862.0,Appareil Fixe-Vast Apparaat,Rue De Ways,39.0,1470,Genappe,Brabant wallon (le),Yes,Yes,,50.61072315,4.452416490475025
15360,15447.0,Appareil Fixe-Vast Apparaat,Belvéderèstraat,27.0,1050,Ixelles,,No,Yes,,50.8266818,4.3732098
